coil current (A), R1 (m), R2(m), theta(rad)
100.000,10.086876,11.744580,0.871823
100.000,5.778545,15.666422,1.010311
100.000,5.363704,24.959944,0.819123
100.000,12.744907,9.408962,0.880277
100.000,10.645211,10.930048,0.870876
100.000,8.433328,14.905042,0.853820
100.000,13.139150,7.919724,0.931145
100.000,8.289579,12.341486,0.955849
100.000,11.306621,8.955871,0.969903
100.000,9.948144,10.944289,0.912199
100.000,9.643615,9.329946,1.013010
100.000,12.286476,8.420442,0.940181
100.000,8.571037,13.686643,0.872783
100.000,11.165618,9.811659,0.902125
100.000,12.523238,7.699662,0.989247
100.000,13.774341,8.950401,0.879147
100.000,7.083373,13.499137,0.971021
100.000,6.598928,12.949119,1.043731
100.000,13.645323,8.278496,0.914221
100.000,5.030126,26.925421,0.833746
100.000,13.446536,6.712942,1.015739
100.000,9.864805,10.847502,0.918484
100.000,5.822652,20.188263,0.877468
100.000,16.249163,7.904328,0.853517
100.000,14.399245,8.005410,0.884111
100.000,4.930335,19.694662,0.976177
100.000,9.986350,9.056143,1.009347
100.000,5.591501,16.897082,0.982553
100.000,7.912592,11.496019,1.004252
100.000,10.417103,11.712067,0.864038
100.000,8.877144,12.397919,0.912749
100.000,5.435374,24.284653,0.823128
100.000,7.717479,13.109843,0.954602
100.000,8.940753,15.598613,0.783369
100.000,9.358101,9.573322,1.026828
100.000,12.463474,9.515883,0.888368
100.000,15.450362,5.978185,1.015908
100.000,8.386954,14.448373,0.866415
100.000,6.253974,15.621969,0.969795
100.000,15.848369,5.488206,1.039182
100.000,15.796483,8.277851,0.840421
100.000,14.362352,6.308661,0.999874
100.000,5.525340,17.570563,0.969536
100.000,7.636170,17.137773,0.826273
100.000,10.907433,9.214516,0.947425
100.000,7.182817,13.455601,0.985919
100.000,15.321274,7.712384,0.867278
100.000,12.041817,10.154728,0.863089
100.000,14.130104,6.386652,1.030711
100.000,7.626614,14.253199,0.915301
100.000,9.896893,10.935388,0.925637
100.000,6.052980,20.565954,0.857655
100.000,7.144316,12.241935,1.041528
100.000,15.803017,5.788435,1.018655
100.000,12.945337,9.322714,0.878441
100.000,5.702602,18.661499,0.942003
100.000,8.474459,12.830808,0.897151
100.000,5.624748,19.949031,0.896995
100.000,14.501077,7.577787,0.900494
100.000,13.967247,8.912715,0.845174
100.000,10.943626,8.164723,1.018770
100.000,14.001300,7.098710,0.944191
100.000,8.252991,12.964607,0.910835
100.000,7.405845,13.973508,0.954168
100.000,7.496283,17.081225,0.829701
100.000,10.904464,11.314116,0.858156
100.000,6.826283,18.868461,0.817283
100.000,5.230784,18.938857,0.975983
100.000,14.127882,8.427989,0.878623
100.000,10.104532,11.266304,0.883731
100.000,8.906352,15.614667,0.794033
100.000,9.687762,10.147420,0.972384
100.000,5.900829,16.303689,0.977953
100.000,5.814814,17.189612,0.976215
100.000,5.527793,15.929778,1.010315
100.000,9.452193,10.761401,0.944282
100.000,9.451534,11.809892,0.900071
100.000,15.136288,8.772356,0.844114
100.000,15.363323,6.939280,0.928921
100.000,5.775660,15.114750,1.043155
100.000,12.907883,8.636815,0.892488
100.000,12.401381,7.753603,0.974580
100.000,10.188761,10.360303,0.936702
100.000,14.714269,9.400234,0.804819
100.000,6.545516,18.962224,0.852722
100.000,11.488058,7.506693,1.033931
100.000,14.677091,8.870788,0.822141
100.000,13.734361,7.327454,0.953022
100.000,5.833129,14.757035,1.047957
100.000,8.763569,12.480784,0.923563
100.000,8.382693,13.314270,0.914737
100.000,7.174590,14.663343,0.932627
100.000,9.035806,10.864168,0.959562
100.000,10.217657,10.164319,0.938314
100.000,8.262285,13.520863,0.891132
100.000,11.983416,7.160018,1.046481
100.000,6.216708,18.906777,0.858636
100.000,8.082565,15.507387,0.838320
